Points,Time (seconds)
10000,0.746174333333
20000,1.629404
40000,3.45382533333
50000,4.45189333333
60000,5.440656
70000,6.52371466667
80000,7.53824066667
90000,8.516919
100000,9.549758
200000,20.492706
400000,43.1326263333
500000,54.584456
600000,66.536433
700000,79.0347383333
800000,91.238692
900000,103.211308
1000000,116.673669333
2000000,245.387076667
3000000,376.422473333
4000000,517.374918
5000000,656.010356333
6000000,798.103478667
7000000,937.579339333
8000000,1089.26609733
9000000,1235.73689833
10000000,1378.206535
